གོམས,གོམས,གོམས,,TDC,PH,,KN
གོམས,གོམས,གོམས,གོམས,,,GT,
གོལ,གོལ,གོལ,,TDC,PH,,
གྱར,གྱར,གྱར,,TDC,PH,,
གྱེར,གྱེར,གྱེར,གྱེར,TDC,PH,,
གྱོན,གྱོན,གྱོན,གྱོན,TDC,PH,,KN
གྲག,གྲག,གྲག,,TDC,PH,,
གྲག,གྲག,གྲག,གྲག,,,GT,
གྲགས,གྲགས,གྲགས,,TDC,PH,,KN
གྲགས,གྲགས,གྲགས,གྲགས,,,GT,
གྲབས,གྲབས,གྲབས,གྲབས,,,,KN
གྲམ,གྲམ,གྲམ,,TDC,PH,,
གྲིམ,གྲིམ,གྲིམ,,TDC,,,
གྲིམ,གྲིམས,གྲིམ,,,PH,,
གྲུག,གྲུགས,གྲུག,,TDC,PH,,KN
གྲུམ,གྲུམས,གྲུམ,,TDC,,,
གྲོལ,གྲོལ,གྲོལ,,TDC,,,
གྲོལ,གྲོལ,གྲོལ,གྲོལ,,,,KN
གླ,གླས,གླ,གླས,TDC,,GT,
གླ,གླས,གླ,གློས,TDC,,,KN
གླན,གླན༼ད༽,གླན,གླན༼ད༽,,,GT,
གླན,གླན,གླན,གློན,,,,KN
གླལ,གླལ༼ད༽,གླལ,གླལ༼ད༽,,,GT,
གླལ,གླལ,གླལ,,TDC,,,
གླེང,གླེངས,གླེང,གླེངས,TDC,,GT,KN
གླེབ,གླེབས,གླེབ,གླེབས,TDC,,GT,KN
གླེམ,གླེམས,གླེམ,གླེམས,,,GT,
གློད,གློད,གློད,གློད,TDC,,GT,KN
གློན,གླན,གླན,གློན,TDC,,,KN
དགའ,དགའ,དགའ,,TDC,,,KN
དགའ,དགའ,དགའ,དགའ,,PH,GT,
དགར,བཀར,དགར,ཁོར,TDC,,,KN
དགར,བཀར,དགར,དགར༼ད༽,,,GT,
དགས,བཀས,དགས,དགས,,,GT,
དགུ,དགུ,དགུ,,TDC,,,
དགུ,དགུ,དགུ,དགུ,,,GT,
དགེས,དགེས,དགེས,དགེས,,,GT,
དགོགས,བཀོག,དགོག,ཁོག,,,GT,
དགོགས,གོགས,དགོག,གོགས,,,GT,
དགོངས,དགོངས,དགོངས,དགོངས,TDC,PH,GT,KN
དགོད,བགད,བགད,དགོད,TDC,,GT,KN
དགོས,དགོས,དགོས,,TDC,,,
དགོས,དགོས,དགོས,དགོས,,PH,GT,
དགྱེ,གྱེ,དགྱེ,དགྱེ,,,GT,
དགྱེ,དགྱེ,དགྱེ,,TDC,,,
དགྱེད,དགྱེད,དགྱེད,,TDC,,,
དགྱེར,བགྱེར༼ད༽,བགྱེར,དགྱེར༼ད༽,,,GT,
དགྱེར,བགྱེར,བགྱེར,དགྱེར,,PH,,
དགྱེས,དགྱེས,དགྱེས,,TDC,,,
དགྱེས,དགྱེས,དགྱེས,དགྱེས,,PH,GT,KN
དགྲད,དགྲད,དགྲད,གྲད,,,,KN
དགྲོང,བཀྲོངས,བཀྲོང,དགྲོངས,,,GT,
དགྲོང,བཀྲོངས,དགྲོང,དགྲོངས,TDC,,,
བགག,བགགས,བགག,བགོགས,TDC,,,
བགམ,བགམ,བགམ,བགོམ,TDC,,,KN
བགམ,བགམས,བགམ,བགམས,,,GT,
བགོ,བགོས,བགོ,བགོས,TDC,PH,GT,
བགོད,བགོས,བགོ,བགོད,,,GT,
བགོད,བགོས,བགོ,བགོས,TDC,,,KN
བགོར,བགོར,བགོར,བགོར,TDC,,,
བགྱང,བགྱངས,བགྱང,བགྱོངས,TDC,,,
བགྱིད,བགྱིས,བགྱི,གྱིས,TDC,PH,GT,KN
བགྲང,བགྲངས,བགྲང,བགྲོངས,TDC,PH,,
བགྲད,བགྲད,བགྲད,དགྲོད,,,,KN
བགྲད,བགྲད,བགྲད,བགྲོད,TDC,,,
བགྲིལ,བགྲིལ,བགྲིལ,བགྲིལ,TDC,,,KN
བགྲུ,བགྲུས,བགྲུ,བགྲུས,TDC,,,KN
བགྲུང,བགྲུངས,བགྲུང,བགྲུངས,TDC,,,KN
བགྲུད,བགྲུས,བགྲུ,བགྲུད,,,GT,
བགྲེ,བགྲེས,བགྲེ,བགྲེས,,,GT,
བགྲེས,བགྲེས,བགྲེས,,TDC,,,
བགྲོ,བགྲོད,བགྲོ,བགྲོད,,,,KN
བགྲོ,བགྲོས,བགྲོ,བགྲོས,TDC,,GT,
བགྲོང,བགྲང,བགྲང,བགྲངས,,,,KN
བགྲོད,བགྲོད,བགྲོད,བགྲོད,TDC,PH,,KN
བགྲོད༼འགྲོད༽,བགྲོད,བགྲོད,བགྲོད,,,GT,
མགར,མགར,མགར,མགོར,TDC,,,
མགུ,མགུ,མགུ,,TDC,,,KN
མགུ,མགུ,མགུ,མགུ,,,GT,
འགག,འགགས,འགག,,TDC,PH,,
འགག,འགགས,འགག,འགགས,,,GT,
འགང,གང,འགང,གང,,,GT,
འགད,བཀད,དགད,ཁོད,TDC,,,
འགབས,གབ,འགབ,གབས,,,GT,
འགམ,བགམ,དགམ,འགམས,,,GT,
འགམ,འགམས,འགམ,འགོམས,TDC,,,KN
འགལ,འགལ༼ད༽,འགལ,འགལ༼ད༽,,,GT,
འགལ,འགལ,འགལ,,TDC,,,KN
འགལ,འགལ,འགལ,འགལ,,PH,,
འགས,བཀས,དགས,ཁོས,TDC,PH,,KN
འགས,གས,འགས,,TDC,PH,,
འགས,གས,འགས,གས,,,GT,
འགུག,གུག,འགུག,གུགས,,,GT,
འགུགས,བཀུག,དགུག,ཁུག,TDC,,,KN
འགུགས,བཀུག,དགུག,ཁུགས,,PH,GT,
འགུད,གུད,གུད,གུད,,,GT,
འགུམ,གུམ,འགུམ,,TDC,,,
འགུམ,གུམ,འགུམ,གུམས,,PH,GT,
འགུམས,བཀུམ,དགུམ,འགུམས,,,GT,
འགུམས,བཀུམས,དགུམ,ཁུམས,TDC,,,KN
འགུལ,འགུལ༼ད༽,འགུལ,འགུལ༼ད༽,,,GT,
འགུལ,འགུལ,འགུལ,,TDC,PH,,KN
འགེངས,བཀང,དགང,ཁེང,,,,KN
འགེངས,བཀང,དགང,ཁོང,TDC,,,
འགེངས,བཀང,དགང,འགེངས,,PH,,
འགེངས༼འགེང༽,བཀང,དགང,འགེངས,,,GT,
